Distance;BBnoise;Buoy;Soundgp;DURATION;RLp;NLp;CENTRETIMEp;Q1Tp;Q3Tp;IQTp;C10Tp;C90Tp;ICTp;MAXTIMEp;MINTIMEp;CENTRETIMEs;Q1Ts;Q3Ts;IQTs;C10Ts;C90Ts;ICTs;MAXTIMEs;MINTIMEs;PEAKFREQUENCY;CENTREFREQUENCY;Q1F;Q3F;IQF;C10F;C90F;ICF;Q1TFREQ;Q3TFREQ;PEAKFREQUENCYlog;CENTREFREQUENCYlog;Q1Flog;Q3Flog;IQFlog;C10Flog;C90Flog;ICFlog;Q1TFREQlog;Q3TFREQlog;TRENDF;SLpp;SLrms;SLefd;NLrms;SNRrms;SLrmsBAND;NLrmsBAND;SNRrmsBAND;RLSNRb;Source
552;101;2;519;0.638095238;124.1075444;124.0603256;50.54726368;35.71428571;58.69225302;22.97796731;22.40227434;79.53091684;57.1286425;54.58422175;29.11158493;0.322539683;0.227891156;0.374512472;0.146621315;0.142947846;0.507482993;0.364535147;0.34829932;0.185759637;148.0407715;142.6574707;99.59106445;157.4615479;57.8704834;74.02038574;170.9197998;96.89941406;144.0032959;150.7324219;2.17038134;2.15429452;1.998220374;2.197174516;1.76245711;1.869351344;2.232792375;1.986321151;2.158372432;2.178206677;0.955357143;155.1135335;144.9609328;143.0100965;95.29115526;49.66977757;143.6255362;87.01543513;56.61010103;11.61954711;wind
1819;102;5;519;0.536825397;118.3852443;119.8775806;43.69350342;22.26070795;71.03151136;48.77080341;11.04164907;88.99214328;77.95049421;12.97626088;4.325420292;0.234557823;0.119501134;0.381315193;0.261814059;0.059274376;0.477732426;0.41845805;0.069659864;0.023219955;146.6949463;153.4240723;86.1328125;205.9112549;119.7784424;55.17883301;235.5194092;180.3405762;78.05786133;47.10388184;2.166415152;2.185893506;1.935168628;2.313680085;2.078378661;1.741772511;2.372026703;2.256093453;1.892416648;1.673056699;1.657142857;164.3056141;148.3117915;145.6104889;96.31055975;52.00123177;144.6262794;91.54013651;53.08614292;-3.294090406;wind
952;100;1;520;0.483129252;124.2951703;134.9121133;57.98366657;46.48455834;69.48277481;22.99821646;37.86726744;81.42307331;43.55580588;62.48005257;28.83694734;0.280136054;0.224580499;0.33569161;0.111111111;0.182947846;0.393378685;0.210430839;0.30185941;0.139319728;80.74951172;102.2827148;76.71203613;141.3116455;64.59960938;63.25378418;180.3405762;117.086792;102.2827148;141.3116455;1.907139905;2.009802247;1.88486351;2.150177954;1.810229892;1.801086512;2.256093453;2.068507907;2.009802247;2.150177954;0.723809524;160.8952188;151.5670268;148.4080678;99.21247866;52.35454812;150.2559254;95.05239453;55.20353082;13.65587687;wind
552;101;2;520;0.425578231;125.8459114;124.305523;50.66069906;39.47144075;62.40409207;22.93265132;26.42796249;80.56265985;54.13469736;54.56095482;5.456095482;0.215600907;0.167981859;0.265578231;0.097596372;0.112471655;0.342857143;0.230385488;0.232199546;0.023219955;148.0407715;150.7324219;135.9283447;165.536499;29.6081543;119.7784424;185.723877;65.94543457;149.3865967;154.7698975;2.17038134;2.178206677;2.133310028;2.218893766;1.471411335;2.078378661;2.268867741;1.819184735;2.174311633;2.189686495;0.965217391;165.3124151;149.4496576;145.7399144;95.20404576;54.24561181;150.6120825;87.67722953;62.93485295;10.14557872;wind
1819;102;5;520;0.457687075;116.6887489;119.8860645;55.28141102;33.13515656;68.00435989;34.86920333;16.46848989;81.6587396;65.1902497;71.02655569;5.073325406;0.253015873;0.151655329;0.311247166;0.159591837;0.07537415;0.373741497;0.298367347;0.325079365;0.023219955;158.807373;157.4615479;145.3491211;170.9197998;25.57067871;131.8908691;209.9487305;78.05786133;149.3865967;154.7698975;2.200870662;2.197174516;2.16241241;2.232792375;1.407742255;2.12021473;2.322113253;1.892416648;2.174311633;2.189686495;0.965217391;162.1184927;150.0453898;146.6515066;96.33507471;53.71031506;149.2118363;91.81788189;57.39395446;1.782092501;wind
952;100;1;521;0.659183673;129.9379407;124.1069174;61.56862745;46.79050568;71.83350533;25.04299966;32.3495012;85.75851393;53.40901273;66.92810458;10.56759546;0.40585034;0.308435374;0.473514739;0.165079365;0.21324263;0.565306122;0.352063492;0.441179138;0.069659864;61.90795898;117.086792;71.32873535;154.7698975;83.44116211;53.83300781;191.1071777;137.2741699;156.1157227;57.8704834;1.791746486;2.068507907;1.853264524;2.189686495;1.921380344;1.731048646;2.281276999;2.137588826;2.193446644;1.76245711;2.697674419;165.6795269;153.2898272;151.4801904;98.28022202;55.00960514;152.7168254;90.41900508;62.29782032;16.9752392;wind
552;101;2;521;0.457505669;128.0522966;124.2876348;40.35487708;29.00475813;73.30491673;44.3001586;20.48969072;83.59436955;63.10467883;35.52735924;5.075337034;0.18462585;0.132698413;0.33537415;0.202675737;0.093741497;0.38244898;0.288707483;0.162539683;0.023219955;130.5450439;149.3865967;126.5075684;191.1071777;64.59960938;111.7034912;238.2110596;126.5075684;174.9572754;131.8908691;2.115760389;2.174311633;2.102116508;2.281276999;1.810229892;2.048066747;2.376961921;2.102116508;2.242932007;2.12021473;1.326530612;163.6606926;149.9432143;146.5476095;95.51666882;54.42654544;150.1183435;88.33081423;61.78752924;13.50994743;wind
1819;102;5;521;0.368843537;126.444174;123.0496614;42.12467724;29.38645026;58.89585639;29.50940612;18.92290668;81.59350793;62.67060125;44.06737981;6.295339973;0.15537415;0.108390023;0.21723356;0.108843537;0.069795918;0.300952381;0.231156463;0.162539683;0.023219955;53.83300781;55.17883301;45.75805664;65.94543457;20.18737793;39.02893066;75.36621094;36.33728027;59.21630859;48.44970703;1.731048646;1.741772511;1.660467572;1.819184735;1.305079914;1.591386652;1.877176682;1.560352419;1.772441331;1.685291155;1.222222222;172.4425183;166.4889468;162.1579025;97.75934707;68.7295997;166.8317862;95.08930368;71.74248253;18.83344192;wind
952;100;1;522;2.83047619;126.1276362;134.5627485;59.75613664;53.27661347;65.39287317;12.11625969;32.51618279;83.95661091;51.44042812;61.52662949;19.68852144;1.69138322;1.507981859;1.850929705;0.342947846;0.920362812;2.376371882;1.45600907;1.741496599;0.557278912;90.17028809;94.20776367;76.71203613;115.7409668;39.02893066;63.25378418;152.0782471;88.82446289;82.09533691;80.74951172;1.955063457;1.974086695;1.88486351;2.063487106;1.591386652;1.801086512;2.182067098;1.94853259;1.91431849;1.907139905;1.016666667;172.7074948;155.1414391;159.6601037;99.65930013;55.48213897;155.0027759;92.1739965;62.82877941;8.422917248;wind
552;101;2;522;2.707845805;128.9400426;125.9229073;59.81945468;56.5669592;64.30294098;7.735981778;34.50626382;82.41944128;47.91317746;63.45548335;15.43511757;1.619818594;1.531746032;1.74122449;0.209478458;0.934376417;2.231791383;1.297414966;1.718276644;0.417959184;80.74951172;88.82446289;75.36621094;113.0493164;37.68310547;64.59960938;161.4990234;96.89941406;80.74951172;76.71203613;1.907139905;1.94853259;1.877176682;2.053267941;1.576146686;1.810229892;2.208169901;1.986321151;1.907139905;1.88486351;1.052631579;175.9078158;156.2246799;160.550992;96.99819072;59.22648922;156.1705982;89.39561194;66.77498625;8.202824979;wind
